match_id,team_1,team_2,league,date,winner
ESPORTSTMNT01_3300413,Vivo Keyd Stars,Liberty,CBLOL,2023-02-04 17:41:29,Liberty
ESPORTSTMNT01_3300434,INTZ,Los Grandes,CBLOL,2023-02-04 19:33:57,Los Grandes
ESPORTSTMNT01_3300699,FURIA,Fluxo,CBLOL,2023-02-05 16:19:00,Fluxo
ESPORTSTMNT01_3300727,INTZ,paiN Gaming,CBLOL,2023-02-05 17:18:05,INTZ
ESPORTSTMNT01_3301406,RED Canids,LOUD,CBLOL,2023-02-04 20:36:41,RED Canids
ESPORTSTMNT01_3301792,KaBuM! Esports,RED Canids,CBLOL,2023-02-05 20:16:46,KaBuM! Esports
ESPORTSTMNT01_3302258,paiN Gaming,Fluxo,CBLOL,2023-02-04 16:25:43,paiN Gaming
ESPORTSTMNT01_3302316,KaBuM! Esports,FURIA,CBLOL,2023-02-04 18:39:19,KaBuM! Esports
ESPORTSTMNT01_3302641,Liberty,Los Grandes,CBLOL,2023-02-05 18:15:59,Los Grandes
ESPORTSTMNT01_3302674,Vivo Keyd Stars,LOUD,CBLOL,2023-02-05 19:23:19,LOUD
ESPORTSTMNT01_3309691,RED Canids,Liberty,CBLOL,2023-02-11 16:23:16,RED Canids
ESPORTSTMNT01_3309743,paiN Gaming,FURIA,CBLOL,2023-02-11 18:18:11,paiN Gaming
ESPORTSTMNT01_3311651,Fluxo,Vivo Keyd Stars,CBLOL,2023-02-11 17:20:25,Fluxo
ESPORTSTMNT01_3311712,Los Grandes,KaBuM! Esports,CBLOL,2023-02-11 19:29:28,Los Grandes
ESPORTSTMNT01_3311744,LOUD,INTZ,CBLOL,2023-02-11 20:34:32,LOUD
ESPORTSTMNT01_3312216,Los Grandes,LOUD,CBLOL,2023-02-12 17:21:01,Los Grandes
ESPORTSTMNT01_3313115,Vivo Keyd Stars,KaBuM! Esports,CBLOL,2023-02-12 16:20:04,KaBuM! Esports
ESPORTSTMNT01_3313202,FURIA,RED Canids,CBLOL,2023-02-12 18:15:40,FURIA
ESPORTSTMNT01_3313248,Fluxo,INTZ,CBLOL,2023-02-12 19:18:26,Fluxo
ESPORTSTMNT01_3313274,Liberty,paiN Gaming,CBLOL,2023-02-12 20:16:52,Liberty
ESPORTSTMNT01_3327386,Vivo Keyd Stars,INTZ,CBLOL,2023-03-19 18:18:28,Vivo Keyd Stars
ESPORTSTMNT01_3328015,LOUD,Los Grandes,CBLOL,2023-03-18 16:26:46,LOUD
ESPORTSTMNT01_3328068,INTZ,Fluxo,CBLOL,2023-03-18 18:19:27,INTZ
ESPORTSTMNT01_3328079,KaBuM! Esports,Vivo Keyd Stars,CBLOL,2023-03-18 19:22:58,KaBuM! Esports
ESPORTSTMNT01_3328094,RED Canids,FURIA,CBLOL,2023-03-18 20:15:09,FURIA
ESPORTSTMNT01_3328298,paiN Gaming,KaBuM! Esports,CBLOL,2023-03-19 16:19:21,paiN Gaming
ESPORTSTMNT01_3328379,Fluxo,RED Canids,CBLOL,2023-03-19 19:19:02,RED Canids
ESPORTSTMNT01_3328411,Los Grandes,FURIA,CBLOL,2023-03-19 20:29:21,FURIA
ESPORTSTMNT01_3329040,paiN Gaming,Liberty,CBLOL,2023-03-18 17:21:26,paiN Gaming
ESPORTSTMNT01_3329301,LOUD,Liberty,CBLOL,2023-03-19 17:21:37,LOUD
ESPORTSTMNT01_3330970,RED Canids,paiN Gaming,CBLOL,2023-03-25 16:28:01,paiN Gaming
ESPORTSTMNT01_3331687,FURIA,Fluxo,CBLOL,2023-03-24 18:39:01,FURIA
ESPORTSTMNT01_3331934,paiN Gaming,RED Canids,CBLOL,2023-03-25 17:38:11,paiN Gaming
ESPORTSTMNT01_3332679,FURIA,Fluxo,CBLOL,2023-03-24 16:25:14,FURIA
ESPORTSTMNT01_3332704,FURIA,Fluxo,CBLOL,2023-03-24 17:38:28,FURIA
ESPORTSTMNT01_3333009,paiN Gaming,RED Canids,CBLOL,2023-03-25 18:37:29,paiN Gaming
ESPORTSTMNT01_3333240,LOUD,Los Grandes,CBLOL,2023-03-26 18:20:19,LOUD
ESPORTSTMNT01_3334178,Los Grandes,LOUD,CBLOL,2023-03-26 17:21:09,Los Grandes
ESPORTSTMNT01_3334191,Los Grandes,LOUD,CBLOL,2023-03-26 19:16:34,LOUD
ESPORTSTMNT01_3335145,LOUD,Los Grandes,CBLOL,2023-03-26 16:28:02,LOUD
ESPORTSTMNT01_3336956,RED Canids,FURIA,CBLOL,2023-04-01 16:24:58,RED Canids
ESPORTSTMNT01_3336977,RED Canids,FURIA,CBLOL,2023-04-01 18:50:06,RED Canids
ESPORTSTMNT01_3337903,RED Canids,FURIA,CBLOL,2023-04-01 20:39:27,FURIA
ESPORTSTMNT01_3338904,FURIA,RED Canids,CBLOL,2023-04-01 17:42:06,FURIA
ESPORTSTMNT01_3338918,RED Canids,FURIA,CBLOL,2023-04-01 19:48:01,FURIA
ESPORTSTMNT01_3339169,paiN Gaming,LOUD,CBLOL,2023-04-02 16:27:08,paiN Gaming
ESPORTSTMNT01_3339186,LOUD,paiN Gaming,CBLOL,2023-04-02 17:28:11,LOUD
ESPORTSTMNT01_3340115,paiN Gaming,LOUD,CBLOL,2023-04-02 19:08:22,LOUD
ESPORTSTMNT01_3341080,paiN Gaming,LOUD,CBLOL,2023-04-02 18:12:21,LOUD
ESPORTSTMNT01_3342132,Los Grandes,FURIA,CBLOL,2023-04-08 16:26:53,Los Grandes
ESPORTSTMNT01_3342148,FURIA,Los Grandes,CBLOL,2023-04-08 17:20:15,Los Grandes
ESPORTSTMNT01_3342624,LOUD,paiN Gaming,CBLOL,2023-04-15 16:34:26,LOUD
ESPORTSTMNT01_3343177,Los Grandes,paiN Gaming,CBLOL,2023-04-09 16:26:50,paiN Gaming
ESPORTSTMNT01_3343196,Los Grandes,paiN Gaming,CBLOL,2023-04-09 18:20:53,Los Grandes
ESPORTSTMNT01_3344078,Los Grandes,FURIA,CBLOL,2023-04-08 18:23:43,Los Grandes
ESPORTSTMNT01_3344199,Los Grandes,paiN Gaming,CBLOL,2023-04-09 17:31:57,paiN Gaming
ESPORTSTMNT01_3344212,paiN Gaming,Los Grandes,CBLOL,2023-04-09 19:21:54,Los Grandes
ESPORTSTMNT01_3344227,paiN Gaming,Los Grandes,CBLOL,2023-04-09 20:32:22,paiN Gaming
ESPORTSTMNT01_3344571,LOUD,paiN Gaming,CBLOL,2023-04-15 17:29:19,LOUD
ESPORTSTMNT01_3344573,paiN Gaming,LOUD,CBLOL,2023-04-15 18:27:57,LOUD
ESPORTSTMNT01_3366804,Los Grandes,Liberty,CBLOL,2023-06-11 20:08:53,Los Grandes
